,highly_variable
Gm16897,False
Cd46,False
Cr1l,False
Cr2,False
Fam171a1,False
Nmt2,False
Rpp38,False
Acbd7,False
Meig1,True
Dclre1c,False
Suv39h2,False
Hspa14,False
Gm45902,False
Cdnf,True
Fam107b,False
Frmd4a,False
Prpf18,False
Bend7,False
Sephs1,False
Phyh,False
Ucma,False
Mcm10,False
Optn,False
Gm26776,False
Ccdc3,True
Camk1d,False
Cdc123,False
Nudt5,False
Gm13199,False
Sec61a2,False
Dhtkd1,False
Upf2,False
Proser2,False
Echdc3,False
Gm13383,False
Usp6nl,False
Gm13391,False
Celf2,False
Gm13389,False
Gata3,True
9230102O04Rik,False
Taf3,False
Atp5c1,False
Kin,False
Itih2,True
Itih5,True
Sfmbt2,False
Prkcq,True
Gm13293,False
Pfkfb3,False
Rbm17,False
Il2ra,False
Il15ra,False
Fbxo18,False
Ankrd16,False
Itga8,False
E030013I19Rik,False
Mindy3,False
Pter,False
C1ql3,True
Rsu1,False
Cubn,False
Trdmt1,False
Vim,True
St8sia6,False
Hacd1,False
Stam,False
Tmem236,False
Mrc1,True
Slc39a12,False
Cacnb2,False
Nsun6,False
Arl5b,False
Plxdc2,True
Nebl,False
A930004D18Rik,False
Skida1,False
Mllt10,False
Dnajc1,False
Commd3,False
Bmi1,False
Spag6,False
Carlr,False
Pip4k2a,True
4930426L09Rik,False
Armc3,False
4930447M23Rik,True
Msrb2,False
Gm33940,False
Otud1,False
Etl4,False
Gm17171,False
Arhgap21,False
Gm13375,False
Enkur,False
Thnsl1,False
Gpr158,False
Gad2,True
Apbb1ip,False
Pdss1,False
Abi1,False
Acbd5,False
Mastl,False
Yme1l1,False
4931423N10Rik,False
Nxph2,False
Spopl,False
Hnmt,False
Il1f9,False
Il1f5,False
Psd4,False
Cacna1b,False
Ehmt1,False
Arrdc1,False
Zmynd19,False
Dph7,False
Mrpl41,False
Pnpla7,False
Nsmf,True
Nrarp,False
Gm38287,False
Tor4a,False
Nelfb,False
Fam166a,True
Tubb4b,False
Slc34a3,True
Cysrt1,False
Rnf208,False
AL732309.1,True
Ndor1,False
Tmem203,False
Tprn,True
Ssna1,False
Anapc2,False
Tmem210,False
Grin1,False
Grin1os,False
AA543186,False
Man1b1,False
Dpp7,False
Uap1l1,False
Sapcd2,False
Entpd2,False
Npdc1,False
Fut7,False
Abca2,True
Paxx,False
Clic3,True
Ptgds,True
C8g,False
Fbxw5,False
Traf2,False
Edf1,False
Mamdc4,False
Phpt1,False
Gm996,False
Gm26702,False
Rabl6,False
Fcnaos,False
Tmem141,False
Fcna,False
A230005M16Rik,False
Bmyc,False
Kcnt1,False
Camsap1,False
Ubac1,False
Nacc2,False
Tmem250-ps,False
Lhx3,False
Qsox2,False
Ccdc187,False
Gpsm1,False
Dnlz,False
Card9,False
Snapc4,False
Sdccag3,False
Pmpca,False
Inpp5e,False
Sec16a,False
Notch1,True
Egfl7,False
Agpat2,False
Fam69b,False
Snhg7os,False
Surf6,False
Med22,False
Rpl7a,False
Surf1,False
Surf2,False
Surf4,False
Stkld1,False
Rexo4,False
Adamts13,False
Cacfd1,False
Slc2a6,False
Gm13398,False
Mymk,False
Adamtsl2,False
Fam163b,True
Dbh,False
Sardh,False
Vav2,False
Brd3os,False
Brd3,False
Wdr5,False
Rxra,False
Col5a1,False
F730016J06Rik,False
Olfm1,True
Gm13373,False
Ppp1r26,False
1700007K13Rik,False
Mrps2,False
Ralgds,False
Gtf3c5,False
Tsc1,False
Spaca9,False
Ak8,False
Gtf3c4,False
Ddx31,False
Barhl1,False
Cfap77,False
Ttf1,False
Setx,False
Ntng2,False
Med27,False
Rapgef1,False
Trub2,False
Coq4,False
Slc27a4,False
Urm1,False
2600006K01Rik,False
Cercam,False
Odf2,False
Gle1,False
Sptan1,False
Wdr34,False
Set,False
Pkn3,False
Zdhhc12,False
Zer1,False
Tbc1d13,False
Endog,False
Spout1,False
Kyat1,False
1700084E18Rik,False
Lrrc8a,False
Phyhd1,False
Dolk,False
Nup188,False
Sh3glb2,False
Miga2,False
Dolpp1,False
Crat,False
Ptpa,False
Ier5l,False
Cstad,False
9330198N18Rik,False
1700001O22Rik,False
Ntmt1,False
Asb6,False
Prrx2,True
Ptges,False
Tor1b,False
Tor1a,False
BC005624,False
Usp20,False
Fnbp1,True
Gpr107,False
Ncs1,False
Hmcn2,True
Ass1,False
Fubp3,False
Gm13425,False
Prdm12,False
Exosc2,False
Abl1,False
Qrfp,True
Fibcd1,True
Lamc3,True
Aif1l,True
Nup214,False
Fam78a,False
Plpp7,False
Prrc2b,False
Gm13610,False
Pomt1,False
Uck1,False
Swi5,False
Golga2,False
Dnm1,False
Ciz1,False
1110008P14Rik,True
Lcn2,True
Ptges2,False
Slc25a25,False
Naif1,False
Fam102a,False
Dpm2,False
9430097D07Rik,False
Pip5kl1,False
St6galnac4,False
St6galnac6,False
Ak1,False
Eng,True
Fpgs,False
Cdk9,False
Sh2d3c,False
6330409D20Rik,False
Ttc16,False
Tor2a,False
Ptrh1,False
Cfap157,False
Stxbp1,False
Gm13524,False
Fam129b,False
Lrsam1,False
Rpl12,False
Slc2a8,False
Garnl3,False
Ralgps1,False
Angptl2,False
Zbtb34,False
