Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010642),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,NDRG4;SNCA,0
GO_Biological_Process_2023,Cellular Response To Acetylcholine (GO:1905145),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,LYPD1;LY6H,0
GO_Biological_Process_2023,Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070302),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,MAPK1;MAPK3,0
GO_Biological_Process_2023,Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:1901844),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,CALM3;CALM2,0
GO_Biological_Process_2023,Regulation Of Transport (GO:0051049),3/44,0.0013842585226956,0.0186313714676337,0,0,14.980387226552676,98.60975682160374,VAMP2;ACTG1;SNCA,0
GO_Biological_Process_2023,Synaptic Vesicle Recycling (GO:0036465),3/44,0.0013842585226956,0.0186313714676337,0,0,14.980387226552676,98.60975682160374,DNM1;VAMP2;SNCA,0
GO_Biological_Process_2023,Nervous System Development (GO:0007399),8/433,0.0014833891013881,0.0196994072664348,0,0,3.984654731457801,25.953753233756565,OLFM1;GPM6A;MEF2C;APLP1;ENC1;LY6H;HPCAL4;NRGN,0
GO_Biological_Process_2023,Axon Development (GO:0061564),4/99,0.001539882179182,0.0201805611903325,0,0,8.68640350877193,56.25357799233447,GAP43;PLPPR4;APLP1;CCK,0
GO_Biological_Process_2023,Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640),2/12,0.0015810451022911,0.0201887297677182,0,0,40.59183673469388,261.8039188938469,NDRG4;SNCA,0
GO_Biological_Process_2023,Detection Of Calcium Ion (GO:0005513),2/12,0.0015810451022911,0.0201887297677182,0,0,40.59183673469388,261.8039188938469,CALM3;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Macrophage Chemotaxis (GO:0010759),2/13,0.0018624280503563,0.0234807384576575,0,0,36.89981447124304,231.94759321375395,MAPK1;MAPK3,0
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),4/105,0.001911353052285,0.0235260345549845,0,0,8.167904290429043,51.130622502952,UCHL1;LMO3;PEBP1;PPIA,0
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),5/176,0.0019132618463391,0.0235260345549845,0,0,6.0723299476762085,38.00638353981998,PSAP;CALM3;CALM1;CALM2;CX3CL1,0
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),3/50,0.0020046761378758,0.0243494808941994,0,0,13.064049133581928,81.15743654844592,LDHA;TPI1;GAPDH,0
GO_Biological_Process_2023,Regulation Of Stress-Activated MAPK Cascade (GO:0032872),3/51,0.0021222963043568,0.0250825825511877,0,0,12.791237113402062,78.73334684431502,MAPK1;PPIA;MAPK3,0
GO_Biological_Process_2023,Regulated Exocytosis (GO:0045055),3/51,0.0021222963043568,0.0250825825511877,0,0,12.791237113402062,78.73334684431502,CPLX2;VAMP2;SNCA,0
GO_Biological_Process_2023,L-glutamate Transmembrane Transport (GO:0015813),2/14,0.0021657651600423,0.0250825825511877,0,0,33.82312925170068,207.5042741698455,SLC1A2;SLC17A7,0
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),2/14,0.0021657651600423,0.0250825825511877,0,0,33.82312925170068,207.5042741698455,MEF2C;NDRG4,0
GO_Biological_Process_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),4/112,0.0024182354828481,0.0276732493247776,0,0,7.635802469135802,46.0035500446402,CALM3;CALM1;CALM2;SNCA,0
GO_Biological_Process_2023,L-glutamate Import (GO:0051938),2/15,0.0024908343052083,0.0276732493247776,0,0,31.21978021978022,187.16687708215863,SLC1A2;SLC17A7,0
GO_Biological_Process_2023,Regulation Of Exocytosis (GO:0017157),3/54,0.002500594818504,0.0276732493247776,0,0,12.036992116434202,72.11634792982616,CPLX2;VAMP2;SNCA,0
GO_Biological_Process_2023,Negative Regulation Of Protein Catabolic Process (GO:0042177),3/54,0.002500594818504,0.0276732493247776,0,0,12.036992116434202,72.11634792982616,PRKCG;CST3;SNCA,0
GO_Biological_Process_2023,Endocytosis (GO:0006897),5/189,0.0026071788481045,0.0285304349095624,0,0,5.639588100686499,33.55265351508133,AP1S1;MAPK1;SYP;DNM1;MAPK3,0
GO_Biological_Process_2023,Neuron Migration (GO:0001764),3/55,0.0026353413771885,0.0285304349095624,0,0,11.804916732751783,70.10636130554923,GPM6A;MEF2C;CCK,0
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),4/117,0.0028323516375065,0.0297480561247402,0,0,7.296091445427729,42.803599885378894,MAPK1;PPIA;SNCA;MAPK3,0
GO_Biological_Process_2023,Positive Regulation Of Telomere Capping (GO:1904355),2/16,0.0028374149918175,0.0297480561247402,0,0,28.988338192419825,170.01259891772904,MAPK1;MAPK3,0
GO_Biological_Process_2023,Regulation Of Golgi Organization (GO:1903358),2/16,0.0028374149918175,0.0297480561247402,0,0,28.988338192419825,170.01259891772904,MAPK1;MAPK3,0
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Proliferation (GO:0070665),2/17,0.0032052883489498,0.0327139444544957,0,0,27.05442176870748,155.3722787250682,MAPK1;MAPK3,0
